"","x"
"1","10q25.1"
"2","12q15"
"3","10q26.2"
"4","10q26.13"
"5","10q22.3"
"6","10q26.3"
"7","12q14.3"
"8","12q21.1"
"9","1p35.2"
"10","10q22.1"
"11","21q21.3"
"12","10q23.31"
"13","12p11.23"
"14","10q21.2"
"15","10q11.22"
"16","12q21.33"
"17","10q22.2"
"18","12q14.2"
"19","10q23.1"
"20","12q21.31"
"21","10q26.11"
"22","12q13.2"
"23","12q21.32"
"24","10q24.31"
"25","10q24.32"
"26","10q24.33"
"27","10q25.2"
"28","10q23.2"
"29","11q23.3"
"30","10q25.3"
"31","10p12.2"
"32","10p12.1"
"33","12q21.2"
"34","10q26.12"
"35","1p36.23"
"36","12q24.23"
"37","10q11.21"
"38","10p13"
"39","10q24.2"
"40","10q11.1"
"41","21q11.2"
"42","4q11"
"43","12p11.21"
"44","10q23.33"
"45","10q23.32"
"46","12q22"
"47","10p11.21"
"48","10q24.1"
"49","21q21.1"
"50","12q13.13"
"51","12q24.22"
"52","1p36.21"
"53","12q13.3"
"54","21p11.2"
"55","21p11.1"
"56","21q11.1"
"57","12q14.1"
"58","10p15.3"
"59","11p15.4"
"60","12p12.1"
"61","1q21.1"
"62","12q24.33"
